,shot,time,time_until_disrupt,ip,Wmhd,n_e,kappa,li
288,1150805015,0.6200000047683716,1.1029000282287598,-496380.671875,36967.29296875,2.2664399513791617e+20,1.67274177074432,1.15224993228912
289,1150805014,0.6200000047683716,,-501707.15625,28657.560546875,1.7371082435500753e+20,1.66786420345306,1.21714103221893
290,1150805013,0.6399999856948853,,-500451.5,36587.9765625,2.2254784908185485e+20,1.6739217042923,1.19857347011566
291,1150805014,0.6399999856948853,,-501549.5625,31136.6171875,1.9516477601880493e+20,1.66968464851379,1.21066153049469
292,1150805012,0.6399999856948853,0.6561000347137451,-488245.09375,25624.529296875,1.6316534191493418e+20,1.67629611492157,1.28898298740387
293,1150805015,0.6399999856948853,1.082900047302246,-493876.53125,37570.421875,2.404363749553056e+20,1.6725857257843,1.16469967365265
294,1150805017,0.6399999856948853,1.0300999879837036,-497945.34375,38377.6328125,2.4061201614725353e+20,1.67655658721924,1.14411866664886
295,1150805016,0.6399999856948853,1.0503000020980835,-495445.3125,36751.00390625,2.392180274925887e+20,1.67631804943085,1.16084027290344
296,1150805022,0.6399999856948853,0.5669000148773193,-481352.890625,14996.8134765625,1.547083306409011e+20,1.66017687320709,1.2867636680603
297,1150805021,0.6399999856948853,1.0045000314712524,-502490.0,41565.40625,2.4841272356751098e+20,1.68981039524078,1.14870893955231
298,1150805020,0.6399999856948853,1.1121000051498413,-489488.46875,28346.767578125,1.7477434699330758e+20,1.65925812721252,1.20401632785797
299,1150805019,0.6399999856948853,0.9776999950408936,-491680.421875,19655.63671875,1.5422353723691545e+20,1.66824007034302,1.23958957195282
300,1150805013,0.6599999666213989,,-498416.078125,37267.359375,2.3517125266599055e+20,1.67474436759949,1.1856244802475
301,1150805014,0.6599999666213989,,-498263.59375,33581.5859375,2.1464106555072112e+20,1.67853128910065,1.18580639362335
302,1150805012,0.6600000262260437,0.6360999941825867,-501550.67082278,26441.212890625,1.879166920569102e+20,1.71335113048553,1.25419998168945
