shot,time,time_until_disrupt,n_e,ip,li,Wmhd,kappa
1050210001,1.5799999237060547,,8.11607498714482e+19,-702274.6875,1.5501625537872314,28701.75,1.522912621498108
1140714005,1.5799999237060547,,1.889202165389837e+20,-695206.625,1.4635607004165647,37688.95703125,1.6302704811096191
1120221014,1.5799999237060547,,7.556499215006826e+19,-714432.75,1.6592916250228882,22162.458984375,1.5637719631195068
1160831012,1.5799999237060547,,6.778405182550678e+19,698713.625,1.636391520500183,29744.291015625,1.6204875707626345
1051129017,1.5799999237060547,,1.7000444719314397e+20,-854319.6875,1.4251652956008911,44696.3203125,1.6102341413497925
1050329005,1.5799999237060547,,1.2481127353322517e+20,-847884.6875,1.4291508197784424,42521.2578125,1.5783772468566895
1120808026,1.5799999237060547,,7.938682419947346e+19,-420106.6875,1.697624444961548,6413.103515625,1.5940381288528442
1050218015,1.5799999237060547,,1.2316048436746833e+20,-703209.25,1.5483229160308838,24711.390625,1.5444999933242798
1051201017,1.5799999237060547,,2.9833638334678696e+20,-850160.25,1.2965236902236938,60699.421875,1.613226294517517
1140805023,1.5799999237060547,,2.4488414453194503e+20,-666582.75,1.3980681896209717,38295.171875,1.646378993988037
1150903001,1.5799999237060547,,1.222609513610727e+20,-616192.436717352,1.74038243293762,17759.494140625,1.52330923080444
1140408008,1.5799999237060547,,1.1137301603026783e+20,699597.6875,1.697988986968994,22972.935546875,1.5096343755722046
1120224020,1.5799999237060547,,1.196793425929993e+20,-891355.6875,1.5456793308258057,41086.3984375,1.5879462957382202
1120531012,1.5799999237060547,,1.4726408382469007e+20,-686263.6875,1.5992693901062012,25281.279296875,1.6098619699478147
1150623001,1.5799999237060547,,1.4261409284461096e+20,-665393.156641324,1.56876647472382,23958.912109375,1.69333410263062
1140723018,1.5799999237060547,,8.995554107188891e+19,-559447.8125,1.8075712919235227,12779.8056640625,1.615922927856445
1160805019,1.5799999237060547,,1.3129801390510362e+20,625914.125,2.142910957336426,11773.6015625,1.4785183668136597
1120801018,1.5799999237060547,,1.2619094951985152e+20,-750248.875,1.6557676792144775,36470.515625,1.573090672492981
1140826022,1.5799999237060547,,1.6790839100250993e+20,-770885.75,1.522768259048462,37749.15234375,1.4898635149002075
1120221023,1.5799999237060547,,1.212695970465773e+20,-1003952.25,1.377071738243103,39338.36328125,1.5913524627685547
1160504023,1.5799999237060547,,8.114089708949707e+19,-531820.0625,1.8492631912231443,8007.306640625,1.5367937088012695
1050803026,1.5799999237060547,,1.4840265010548467e+20,-591456.875,1.3160308599472046,26266.021484375,1.6497551202774048
1160620016,1.5799999237060547,,1.256157554049433e+20,-690930.875,1.8206616640090945,27056.408203125,1.6473894119262695
1050210003,1.5799999237060547,,9.256004662357865e+19,-702428.125,1.5480738878250122,25937.73046875,1.5243546962738037
1050315021,1.5799999237060547,,1.1933542415192398e+20,-690768.5,1.5694832801818848,22741.162109375,1.4817577600479126
1150710005,1.5800000429153442,0.5052999258041382,4.868472406044192e+19,-599644.125819916,1.82298588752747,6955.38232421875,1.58159196376801
1120125011,1.5800000429153442,0.23189997673034668,1.601577312281774e+20,-694667.875,1.640145182609558,24753.267578125,1.5211840867996216
1160405026,1.5800000429153442,0.15769994258880615,1.2260837120065038e+20,-715967.375,1.7920267581939695,25137.12109375,1.565388798713684
1120920009,1.5800000429153442,0.10669994354248047,1.5253779898834092e+20,919379.8125,1.4626070261001587,65969.484375,1.526810646057129
1150915012,1.5800000429153442,0.022300004959106445,5.330655959004679e+19,859663.281045021,1.47991216182709,33955.18359375,1.56163811683655
1120919016,1.5800000429153442,0.13469994068145752,1.1377860673435337e+20,938711.375,1.4167990684509275,46092.6328125,1.54908549785614
1140408029,1.5800000429153442,0.1816999912261963,1.1827269778516686e+20,697393.25,1.6337935924530027,26328.748046875,1.513969659805298
1160927026,1.5800000429153442,0.17949998378753662,2.459790470069774e+20,-681830.75,1.664718508720398,25409.654296875,1.6848559379577637
1140220023,1.5800000429153442,0.2190999984741211,1.7258655789199917e+20,844883.375,1.570620059967041,32155.400390625,1.5775762796401978
1140204021,1.5800000429153442,0.22189998626708984,1.4131927954000288e+20,845998.5625,1.6243108510971067,29047.12109375,1.5535794496536257
1140814019,1.5800000429153442,0.05169999599456787,4.992157943470437e+19,-700963.5625,1.7272372245788574,15858.5107421875,1.5572720766067505
1050526014,1.5800000429153442,0.1753000020980835,2.4072616099160313e+20,-892847.9375,1.421766996383667,55096.18359375,1.5884003639221191
1120508029,1.5800000429153442,0.12389993667602539,1.162073663474594e+20,-675174.5,1.6807897090911865,23638.541015625,1.62040376663208
1120427032,1.5800000429153442,0.10909998416900635,,-684490.0,1.6921261548995972,23008.615234375,1.6319233179092407
1120501019,1.5800000429153442,0.15249991416931152,1.772954935148801e+20,-713974.5625,1.6814032793045044,23908.1875,1.6639666557312012
1160406025,1.5800000429153442,0.1286998987197876,1.0829457698654152e+20,-783581.6875,1.6584925651550293,31827.734375,1.507862210273743
1120629010,1.5800000429153442,0.1736999750137329,2.2475620319890086e+20,-555734.5,1.7099558115005493,51911.5234375,1.6570838689804077
