shot,time,time_until_disrupt,aminor,n_e,ip,delta,li,Wmhd,kappa,label
1150805017,0.11999999731779099,1.5500999763607979,0.19832104527943706,3.539158169689957e+19,-349870.8592993313,0.4024148584443452,1.0736738443374634,782.8834838867188,1.6591331958770752,
1150805017,0.14000000059604645,1.5300999730825424,0.20579546693293205,3.280992170073149e+19,-368055.48415847117,0.3933786448925982,1.1673719882965088,3450.03955078125,1.615019679069519,
1150805017,0.1599999964237213,1.5100999772548676,0.2133276166699809,3.3401405451391103e+19,-386099.8358944271,0.38196402787871175,1.1817058324813843,5102.8193359375,1.5561566352844238,
1150805017,0.17999999225139618,1.4900999814271927,0.2158363462221291,3.810323185439227e+19,-409006.21852884756,0.3572986129718405,1.1996068954467773,4796.4384765625,1.5344020128250122,
1150805017,0.20000000298023224,1.4700999706983566,0.21810036899901597,4.263789768874299e+19,-428952.00015368854,0.35113230374474824,1.2527050971984863,6238.2607421875,1.5251312255859375,
1150805017,0.2199999988079071,1.4500999748706818,0.21730983258884418,4.78495728825243e+19,-446889.06229508197,0.3515781163984331,1.186511516571045,8032.642578125,1.5433645248413086,
1150805017,0.23999999463558197,1.430099979043007,0.21832738817862002,5.123467427293881e+19,-464221.28125,0.3519710302278281,1.1763044595718384,9917.5400390625,1.5461972951889038,
1150805017,0.25999999046325684,1.410099983215332,0.2188186645600517,5.3266348795220935e+19,-485021.65625,0.35390660171064725,1.1443794965744019,11651.5341796875,1.5615956783294678,
1150805017,0.2800000011920929,1.390099972486496,0.2183513194423256,5.5625559056570974e+19,-489857.8597894933,0.36354944090756813,1.1606703996658325,13430.80859375,1.5707452297210693,
1150805017,0.29999998211860657,1.3700999915599823,0.21767583486782094,5.6017791458659746e+19,-493129.53125,0.37734347577662675,1.1773381233215332,14308.013671875,1.5873750448226929,
1150805017,0.3199999928474426,1.3500999808311462,0.21550139787376388,5.72446761070717e+19,-495775.875,0.374095618770677,1.175389289855957,14646.9951171875,1.6005843877792358,
1150805017,0.3400000035762787,1.3300999701023102,0.2145322561280566,6.2159795757412024e+19,-497024.4373882265,0.3693876861112493,1.1750514507293701,14486.4033203125,1.61247718334198,
1150805017,0.35999998450279236,1.3100999891757965,0.2128967047434358,6.60546845108326e+19,-494986.875,0.37202608572158624,1.1397322416305542,15512.0869140625,1.62471604347229,
1150805017,0.3799999952316284,1.2900999784469604,0.2130429446736669,6.856222932843102e+19,-494204.10984523984,0.37492519623589393,1.1671631336212158,15574.5322265625,1.6322416067123413,
1150805017,0.4000000059604645,1.2700999677181244,0.21382598576231993,7.0504369000252285e+19,-495296.99979508197,0.37359452250742575,1.1731337308883667,15762.916015625,1.6462857723236084,
1150805017,0.41999998688697815,1.2500999867916107,0.2138081490988981,7.1524778537688375e+19,-495288.734375,0.37299472094904385,1.1621445417404175,15897.8564453125,1.6598231792449951,
1150805017,0.4399999976158142,1.2300999760627747,0.21460275349923585,7.063666520093874e+19,-495133.18719271454,0.3715755343274669,1.18328857421875,14932.3232421875,1.6577764749526978,
1150805017,0.4599999785423279,1.210099995136261,0.2122935652403264,7.195184206354567e+19,-491845.203125,0.3717906177041628,1.1793705224990845,15322.5927734375,1.6727555990219116,
1150805017,0.47999998927116394,1.190099984407425,0.21058407423583203,7.233731065783527e+19,-493256.3909277198,0.3628452419931687,1.1715811491012573,15148.44140625,1.6849690675735474,
1150805017,0.5,1.1700999736785889,0.212434783527635,7.464728433014037e+19,-493880.62515361985,0.37092661873891064,1.203677773475647,16093.2353515625,1.7080178260803223,
1150805017,0.5199999809265137,1.1500999927520752,0.21264041961117508,8.050362751122283e+19,-491688.625,0.3714236617191018,1.194467544555664,18994.748046875,1.7087113857269287,
1150805017,0.5399999618530273,1.1301000118255615,0.2150001674737929,9.414837485328546e+19,-496385.78125,0.38832801637232706,1.1747781038284302,25057.86328125,1.696968674659729,
1150805017,0.5600000023841858,1.110099971294403,0.21509258449179958,1.0901993462372106e+20,-499520.25,0.39160567530633195,1.1295568943023682,29831.3828125,1.6904572248458862,
